Test Character,Test Image,Train Character,Train Image,Similarity,Ground Truth
60742,60742_2.png,60742,60742_5.png,99.93437957763672,1
60742,60742_2.png,60742,60742_6.png,99.96229553222656,1
60742,60742_2.png,60742,60742_17.png,99.64583587646484,1
60742,60742_2.png,60742,60742_11.png,99.83846282958984,1
60742,60742_2.png,60742,60742_13.png,99.0653305053711,1
60742,60742_2.png,60742,60742_3.png,99.7728271484375,1
60742,60742_2.png,60742,60742_8.png,99.8822250366211,1
60742,60742_2.png,60742,60742_19.png,99.73756408691406,1
60742,60742_2.png,60742,60742_21.png,99.76849365234376,1
60742,60742_2.png,60742,60742_9.png,99.92814636230467,1
60742,60742_2.png,60742,60742_18.png,99.75993347167967,1
60742,60742_2.png,60742,60742_7.png,99.92015075683594,1
60742,60742_2.png,60742,60742_12.png,99.94459533691406,1
60742,60742_2.png,60742,60742_0.png,99.88006591796876,1
60742,60742_2.png,60742,60742_10.png,99.9173812866211,1
60742,60742_2.png,605A4,605A4_13.png,0.0022021094337105,0
60742,60742_2.png,605A4,605A4_14.png,0.0033167444635182,0
60742,60742_2.png,605A4,605A4_15.png,0.0023908638395369,0
60742,60742_2.png,605A4,605A4_21.png,0.0021210883278399,0
60742,60742_2.png,605A4,605A4_7.png,0.0083076292648911,0
60742,60742_2.png,605A4,605A4_16.png,0.0030584721826016,0
60742,60742_2.png,605A4,605A4_11.png,0.0172091573476791,0
60742,60742_2.png,605A4,605A4_17.png,0.0473780483007431,0
60742,60742_2.png,605A4,605A4_3.png,0.0040238751098513,0
60742,60742_2.png,605A4,605A4_8.png,0.0040538515895605,0
60742,60742_2.png,605A4,605A4_1.png,0.0081366645172238,0
60742,60742_2.png,605A4,605A4_0.png,0.0025454554706811,0
60742,60742_2.png,605A4,605A4_2.png,0.0059442138299345,0
60742,60742_2.png,605A4,605A4_10.png,0.0033253084402531,0
60742,60742_2.png,605A4,605A4_12.png,0.0029442710801959,0
60742,60742_2.png,61082,61082_15.png,0.0211483500897884,0
60742,60742_2.png,61082,61082_19.png,0.0595535635948181,0
60742,60742_2.png,61082,61082_12.png,0.0078127570450305,0
60742,60742_2.png,61082,61082_0.png,0.0200295355170965,0
